Date,Prev Close,Open,High,Low,Close,Volume,,,,,
2/15/2000,157.5,148,163.7,148,149.6,153150,,,,,
2/16/2000,149.6,155.25,161.6,154,161.6,67654,,,,,
2/17/2000,161.6,165,174.55,164.8,174.55,64637,,,,,
2/18/2000,174.55,184.4,188,162.75,174.85,90931,,,,,
2/21/2000,174.85,175,178,161,171.6,83475,,,,,
2/22/2000,171.6,175,176,161.5,163.2,101537,,,,,
2/23/2000,163.2,169,176.25,158,160.4,78128,,,,,
2/24/2000,160.4,161.1,163,151,153.85,32260,,,,,
2/25/2000,153.85,151.7,155.9,141.55,143.3,35794,,,,,
2/28/2000,143.3,139,146,132.2,144.15,65297,,,,,
2/29/2000,144.15,142,155.7,135.55,140.45,103620,,,,,
3/1/2000,140.45,145,151.7,142,151.7,38073,,,,,
3/2/2000,151.7,162,163.85,155.5,163.85,72557,,,,,
3/3/2000,163.85,171.9,177,153,171.25,545599,,,,,
3/6/2000,171.25,177,184.95,174,184.95,137483,,,,,
3/7/2000,184.95,195,199.75,187,199.75,161931,,,,,
3/8/2000,199.75,214.8,215.75,189.05,194.8,359518,,,,,
3/9/2000,194.8,205,210,179.25,179.25,58010,,,,,
3/10/2000,179.25,165.1,175,164.95,164.95,83554,,,,,
3/13/2000,164.95,165,165,151.75,151.75,21700,,,,,
3/14/2000,151.75,140.1,140.1,139.65,139.65,32980,,,,,
3/15/2000,139.65,144,148,128.6,144.3,119746,,,,,
3/16/2000,144.3,140,144,133,134.3,52127,,,,,
3/21/2000,134.3,129,134.5,123.6,123.6,72573,,,,,
7/2/2001,48,48.05,49.5,48,48.05,5540,,,,,
7/3/2001,48.05,49.5,49.5,47.5,48,3876,,,,,
7/4/2001,48,48.5,49,47.75,48.4,2468,,,,,
7/5/2001,48.4,49,49.45,48,48.3,3135,,,,,
7/6/2001,48.3,48.5,48.5,47,48,5890,,,,,
7/9/2001,48,47.5,48.5,47,47.6,7109,,,,,
7/10/2001,47.6,47.05,48,46,46.8,4730,,,,,
7/11/2001,46.8,49.5,49.5,46,46,3889,,,,,
7/12/2001,46,46.5,47,46,46,1770,,,,,
7/13/2001,46,46,47.9,45,45,4000,,,,,
7/16/2001,45,45,46,44.5,44.5,2095,,,,,
7/17/2001,44.5,44,46,44,45.15,4489,,,,,
7/18/2001,45.15,45,45.45,42.1,44.9,3040,,,,,
7/19/2001,44.9,44.7,45,44.1,44.55,3455,,,,,
7/20/2001,44.55,44,44.95,43.55,43.6,2853,,,,,
