Date,Prev Close,Open,High,Low,Close,Volume,,,,,
12/20/2004,1256.5,1260,1268.5,1256.5,1262.55,283553,,,,,
12/21/2004,1262.55,1264.95,1277,1263.15,1272.7,432314,,,,,
12/22/2004,1272.7,1275.1,1275.1,1230,1240.15,750214,,,,,
12/23/2004,1240.15,1247.7,1247.7,1225,1227.85,493614,,,,,
12/24/2004,1227.85,1232.95,1272,1221.55,1267.95,832732,,,,,
12/27/2004,1267.95,1270,1285,1262.2,1270.55,550063,,,,,
12/28/2004,1270.55,1272,1314,1266.2,1309.35,1201806,,,,,
12/29/2004,1309.35,1316.95,1336.9,1313.15,1320.25,829153,,,,,
12/30/2004,1320.25,1318,1328,1291.85,1296.65,703349,,,,,
12/31/2004,1296.65,1300,1338.8,1296.65,1335.45,612414,,,,,
1/3/2005,1335.45,1335.45,1356.7,1335.45,1353.25,591771,,,,,
1/4/2005,1353.25,1350,1354,1333.15,1341.25,622388,,,,,
1/5/2005,1341.25,1340.2,1340.2,1280.3,1325,1200540,,,,,
1/6/2005,1325,1320,1346,1292.5,1320.45,1000861,,,,,
1/7/2005,1320.45,1330,1345,1312.65,1339.95,952892,,,,,
1/10/2005,1339.95,1348.65,1359.4,1322,1327.45,940196,,,,,
1/11/2005,1327.45,1330,1335.3,1301,1313.75,998297,,,,,
1/12/2005,1313.75,1325.95,1367.95,1286.7,1298.05,2590004,,,,,
1/13/2005,1298.05,1310,1338.7,1275,1292.9,3469744,,,,,
1/14/2005,1292.9,1304.7,1317.9,1277,1296.4,1969722,,,,,
1/17/2005,1296.4,1309.6,1309.6,1240.2,1263.25,1706398,,,,,
1/18/2005,1263.25,1274.7,1284,1257.5,1263.85,772908,,,,,
1/19/2005,1263.85,1266,1273.7,1251.1,1255.4,442311,,,,,
1/20/2005,1255.4,1255,1255,1230,1243.7,567025,,,,,
1/24/2005,1243.7,1243.7,1247.35,1215.35,1220.65,453524,,,,,
1/25/2005,1220.65,1214.8,1239.9,1207.1,1235.45,558241,,,,,
1/27/2005,1235.45,1243.25,1253.8,1235.3,1240.55,681918,,,,,
1/28/2005,1240.55,1242.85,1294.8,1242.5,1289.2,1049227,,,,,
1/31/2005,1289.2,1298,1311.8,1290.25,1300.4,731673,,,,,
2/1/2005,1300.4,1307,1320,1287,1315.25,1002480,,,,,
2/2/2005,1315.25,1319,1323.45,1303,1308.95,608807,,,,,
2/3/2005,1308.95,1312,1314.75,1302,1311.1,415952,,,,,
2/4/2005,1311.1,1310,1322,1300.55,1306.45,335505,,,,,
2/7/2005,1306.45,1312.6,1330.7,1301,1313.75,743027,,,,,
2/8/2005,1313.75,1313.75,1323,1308,1316,410554,,,,,
2/9/2005,1316,1321,1343.6,1320.75,1332.8,692242,,,,,
2/10/2005,1332.8,1330,1343.5,1323,1332.65,547081,,,,,
2/11/2005,1332.65,1338,1387,1338,1381.75,1295887,,,,,
2/14/2005,1381.75,1391.05,1418,1391.05,1409.65,1109408,,,,,
2/15/2005,1409.65,1410,1415,1374,1381.35,497090,,,,,
2/16/2005,1381.35,1399,1399,1361,1368.15,390854,,,,,
2/17/2005,1368.15,1368.15,1386,1350.6,1381.85,515622,,,,,
2/18/2005,1381.85,1380,1392,1355,1375,318143,,,,,
2/21/2005,1375,1371,1375.8,1345.1,1365.55,222144,,,,,
2/22/2005,1365.55,1364.7,1369.95,1351,1363.45,267380,,,,,
2/23/2005,1363.45,1363.45,1382.1,1355.15,1374.95,645852,,,,,
2/24/2005,1374.95,1374.95,1395.9,1361.2,1367.95,1350805,,,,,
2/25/2005,1367.95,1376.8,1379,1353.15,1364.05,633862,,,,,
2/28/2005,1364.05,1379,1385,1340,1380.9,800301,,,,,
3/1/2005,1380.9,1381,1440,1351,1357.45,619769,,,,,
3/2/2005,1357.45,1375,1375,1361.6,1368,332264,,,,,
3/3/2005,1368,1370,1395,1364,1389.55,361395,,,,,
3/4/2005,1389.55,1394,1403.5,1382,1392.25,502234,,,,,
3/7/2005,1392.25,1395,1408,1394,1400.2,457254,,,,,
3/8/2005,1400.2,1404,1420.9,1395.35,1413.95,628460,,,,,
3/9/2005,1413.95,1409,1426.5,1395.05,1407.5,677761,,,,,
3/10/2005,1407.5,1410,1410,1390.25,1399.55,287785,,,,,
3/11/2005,1399.55,1406,1434.9,1405,1427.45,650718,,,,,
3/14/2005,1427.45,1428,1460,1420,1451.85,816754,,,,,
3/15/2005,1451.85,1451,1462,1430,1442.65,518310,,,,,
3/16/2005,1442.65,1440,1467.6,1440,1452.05,684177,,,,,
3/17/2005,1452.05,1448,1473.7,1440,1460.95,850666,,,,,
3/18/2005,1460.95,1459,1472.5,1425,1468.7,765433,,,,,
3/21/2005,1468.7,1470.15,1475,1444.6,1456.45,544265,,,,,
3/22/2005,1456.45,1454.8,1457.1,1440.1,1443.55,335554,,,,,
3/23/2005,1443.55,1440,1448,1413.35,1421.25,429927,,,,,
3/24/2005,1421.25,1430,1438,1377.65,1384.35,744322,,,,,
3/28/2005,1384.35,1391,1408.85,1384,1392.4,462466,,,,,
3/29/2005,1392.4,1395,1398,1362.2,1370.9,381675,,,,,
3/30/2005,1370.9,1371.1,1400,1360,1390.55,514407,,,,,
3/31/2005,1390.55,1404.5,1445.1,1397.25,1432.05,864330,,,,,
4/1/2005,1432.05,1433,1457,1414,1450.95,695334,,,,,
4/4/2005,1450.95,1452,1456.8,1423.3,1427.75,657170,,,,,
4/5/2005,1427.75,1429,1442.5,1416.1,1425.45,420979,,,,,
4/6/2005,1425.45,1427,1448,1427,1441.35,244176,,,,,
4/7/2005,1441.35,1441,1450,1422,1425.2,310402,,,,,
4/8/2005,1425.2,1430.7,1434.9,1390.05,1393.55,506535,,,,,
4/11/2005,1393.55,1397,1400,1360.1,1363.6,352874,,,,,
4/12/2005,1363.6,1399,1399,1365,1382,514087,,,,,
4/13/2005,1382,1394,1407,1385.55,1401.6,579825,,,,,
4/15/2005,1401.6,1395,1395,1315,1319,1232810,,,,,
4/18/2005,1319,1300,1348.7,1291,1318.65,753038,,,,,
4/19/2005,1318.65,1330,1348.9,1178.1,1208.7,3404394,,,,,
4/20/2005,1208.7,1200,1200,1093.3,1116.2,5937282,,,,,
4/21/2005,1116.2,1125,1148,1110,1142.4,1656542,,,,,
4/22/2005,1142.4,1160,1171.65,1140.25,1166.75,1619834,,,,,
4/25/2005,1166.75,1164.8,1167.9,1148,1156.95,860073,,,,,
4/26/2005,1156.95,1157,1163.8,1134.1,1136.7,692375,,,,,
4/27/2005,1136.7,1141.1,1141.1,1111,1115.65,817171,,,,,
4/28/2005,1115.65,1115.1,1130,1097.15,1114.8,1091109,,,,,
4/29/2005,1114.8,1128.8,1144.7,1117.05,1131.1,1383213,,,,,
5/2/2005,1131.1,1150,1178,1118.1,1128.9,641200,,,,,
5/3/2005,1128.9,1130,1135,1105.35,1108.6,687881,,,,,
5/4/2005,1108.6,1106.5,1124.5,1106.5,1120.85,599018,,,,,
5/5/2005,1120.85,1149.95,1150,1125.55,1136.85,811883,,,,,
5/6/2005,1136.85,1140,1171.7,1132.15,1167.5,1023583,,,,,
5/9/2005,1167.5,1170,1182.25,1166.25,1175.25,592380,,,,,
5/10/2005,1175.25,1178,1178,1146.25,1152.5,884494,,,,,
5/11/2005,1152.5,1148,1152.6,1137.95,1149.1,401661,,,,,
5/12/2005,1149.1,1159,1161.7,1143.15,1146.75,451118,,,,,
5/13/2005,1146.75,1149,1151,1140.15,1148.6,298594,,,,,
